applies_to_pillar,article,article_title,body_len,chapter,chapter_title,current_edition_year,section_number,short_title
food_safety,,,125,1,General Provisions,2026,113700,California retail food code
food_safety,,,183,1,General Provisions,2026,113703,"Food safety, illness prevention, and honest presentation"
food_safety,,,611,1,General Provisions,2026,113705,Legislative intent to preempt local standards
food_safety,,,79,1,General Provisions,2026,113707,Regulations
food_safety,,,627,1,General Provisions,2026,113709,Authority to establish local requirements
food_safety,,,251,1,General Provisions,2026,113711,References to previous laws
food_safety,,,1296,1,General Provisions,2026,113713,Primary responsibility for enforcement
food_safety,,,296,1,General Provisions,2026,113715,Compliance with applicable codes
food_safety,,,1281,1,General Provisions,2026,113717,California Department of Health Services cost recovery
food_safety,,,231,1,General Provisions,2026,113718,Retail food safety and defense fund
food_safety,,,234,1,General Provisions,2026,113719,Structural and sanitation requirements
food_safety,,,2000,1,General Provisions,2026,113725,Food facility inspection format
food_safety,,,338,1,General Provisions,2026,113725.1,Inspection report availability
food_safety,,,244,1,General Provisions,2026,113725.2,Uniform statewide food inspection standardization
food_safety,,,3135,1,General Provisions,2026,113725.3,Reporting procedures
food_safety,1,Supervision,191,3,Management and Personnel,2026,113945,Assignment
food_safety,1,Supervision,520,3,Management and Personnel,2026,113945.1,Person in charge
food_safety,2,Employee Knowledge,1203,3,Management and Personnel,2026,113947,Minimum standards of knowledge-general requirements
food_safety,2,Employee Knowledge,4236,3,Management and Personnel,2026,113947.1,Food safety certification exam
food_safety,2,Employee Knowledge,2236,3,Management and Personnel,2026,113947.2,Approved and accredited exams
food_safety,2,Employee Knowledge,2996,3,Management and Personnel,2026,113947.3,Recognition of certificate
food_safety,2,Employee Knowledge,732,3,Management and Personnel,2026,113947.4,Food certification prohibition
food_safety,2,Employee Knowledge,339,3,Management and Personnel,2026,113947.5,Violations of this section
food_safety,2,Employee Knowledge,243,3,Management and Personnel,2026,113947.6,Infraction
food_safety,2,Employee Knowledge,10509,3,Management and Personnel,2026,113948,Food Handler Card
food_safety,3,Employee Health,512,3,Management and Personnel,2026,113949,Intent
food_safety,3,Employee Health,2385,3,Management and Personnel,2026,113949.1,Local health officer notification
food_safety,3,Employee Health,1562,3,Management and Personnel,2026,113949.2,Responsibility of owner
food_safety,3,Employee Health,274,3,Management and Personnel,2026,113949.4,Responsibility of the food employee
food_safety,3,Employee Health,526,3,Management and Personnel,2026,113949.5,Responsibility of the person in charge to notify the local
food_safety,3,Employee Health,1676,3,Management and Personnel,2026,113950,Exclusions and restrictions
food_safety,3,Employee Health,725,3,Management and Personnel,2026,113950.5,Removal of exclusions and restrictions
food_safety,4,Handwashing,80,3,Management and Personnel,2026,113952,Clean condition
food_safety,4,Handwashing,2297,3,Management and Personnel,2026,113953,Handwashing facilities
food_safety,4,Handwashing,601,3,Management and Personnel,2026,113953.1,Using a handwashing facility
food_safety,4,Handwashing,230,3,Management and Personnel,2026,113953.2,Handwashing supplies
food_safety,4,Handwashing,2873,3,Management and Personnel,2026,113953.3,Handwashing procedure
food_safety,4,Handwashing,3163,3,Management and Personnel,2026,113953.4,Hand sanitizers
food_safety,4,Handwashing,385,3,Management and Personnel,2026,113953.5,Handwashing signage
food_safety,4,Handwashing,962,3,Management and Personnel,2026,113961,Handling ready-to-eat foods
food_safety,4,Handwashing,224,3,Management and Personnel,2026,113963,Employee hand wash frequency
food_safety,5,Personal Cleanliness,127,3,Management and Personnel,2026,113967,Food contamination by employees
food_safety,5,Personal Cleanliness,130,3,Management and Personnel,2026,113968,Fingernails
food_safety,5,Personal Cleanliness,766,3,Management and Personnel,2026,113969,Hair restraints
food_safety,5,Personal Cleanliness,189,3,Management and Personnel,2026,113971,Clothing
food_safety,6,Hygienic Practices,2000,3,Management and Personnel,2026,113973,Use of gloves
food_safety,6,Hygienic Practices,328,3,Management and Personnel,2026,113974,Employees with cold or flu symptoms
food_safety,6,Hygienic Practices,1043,3,Management and Personnel,2026,113975,Employees with open or draining wounds
food_safety,6,Hygienic Practices,295,3,Management and Personnel,2026,113976,Preventing contamination when testing
food_safety,6,Hygienic Practices,593,3,Management and Personnel,2026,113977,"Eating, drinking or using tobacco"
food_safety,6,Hygienic Practices,116,3,Management and Personnel,2026,113978,No smoking sign
food_safety,1,Protection from Contamination,621,4,General Food Safety Provisions,2026,113980,Requirements for food
food_safety,1,Protection from Contamination,2811,4,General Food Safety Provisions,2026,113982,Food transportation
food_safety,1,Protection from Contamination,1576,4,General Food Safety Provisions,2026,113984,"Food preparation area, protection from contamination"
food_safety,1,Protection from Contamination,476,4,General Food Safety Provisions,2026,113984.1,"Food preparation area, consumer access"
food_safety,1,Protection from Contamination,4108,4,General Food Safety Provisions,2026,113986,Food and ingredient contamination
food_safety,1,Protection from Contamination,408,4,General Food Safety Provisions,2026,113988,Protection from unapproved additives
food_safety,1,Protection from Contamination,215,4,General Food Safety Provisions,2026,113990,Ice used as exterior coolant prohibited as ingredient
food_safety,1,Protection from Contamination,504,4,General Food Safety Provisions,2026,113992,Washing produce
food_safety,2,Time and Temperature Relationships,1724,4,General Food Safety Provisions,2026,113996,"Hot and cold holding, potentially hazardous food"
food_safety,2,Time and Temperature Relationships,243,4,General Food Safety Provisions,2026,113998,Time limits for food preparation
food_safety,2,Time and Temperature Relationships,1803,4,General Food Safety Provisions,2026,114000,Time as a public health control
food_safety,2,Time and Temperature Relationships,1384,4,General Food Safety Provisions,2026,114002,Cooling
food_safety,2,Time and Temperature Relationships,1559,4,General Food Safety Provisions,2026,114002.1,Cooling methods
food_safety,2,Time and Temperature Relationships,6703,4,General Food Safety Provisions,2026,114004,Cooking temperatures of raw animal foods
food_safety,2,Time and Temperature Relationships,479,4,General Food Safety Provisions,2026,114008,Microwave cooking
food_safety,2,Time and Temperature Relationships,159,4,General Food Safety Provisions,2026,114010,Plant food cooking for hot holding
food_safety,2,Time and Temperature Relationships,378,4,General Food Safety Provisions,2026,114012,"Pasteurized egg, substitute for raw shell eggs for certain"
food_safety,2,Time and Temperature Relationships,146,4,General Food Safety Provisions,2026,114014,Preparation for immediate service
food_safety,2,Time and Temperature Relationships,1344,4,General Food Safety Provisions,2026,114016,Reheating for hot holding
food_safety,2,Time and Temperature Relationships,120,4,General Food Safety Provisions,2026,114018,Frozen food
